correct_answer;question;wrong_answer
"Francesco Cossiga";"Nel 1985, venne eletto presidente della Repubblica con i voti di tutti i partiti dell'arco costituzionale: ";"Carlo Azeglio Ciampi|Giuseppe Saragat|Oscar Luigi Scalfaro"
"Enrico De Nicola";"Quale presidente della Repubblica italiana firmò la Carta costituzionale?";"Antonio Segni|Giovanni Gronchi|Giuseppe Saragat"
"Giovanni Gentile";"Quale tra i seguenti personaggi italiani NON fu un oppositore del regime fascista?";"Antonio Gramsci|Giacomo Matteotti|Pietro Gobetti"
"Sandro Pertini";"Quale dei seguenti personaggi è stato eletto presidente della Repubblica Italiana?";"Ferruccio Parri|Giulio Andreotti|Vittorio Foa"
"guerra lampo";"Nella prima fase della seconda guerra mondiale, i tedeschi adottarono la strategia della:";"guerra di logoramento|guerra partigiana|terra bruciata"
1940;"L'Italia entrò nella seconda guerra mondiale nel:";1939|1943|1945
1946;"In Italia le donne hanno votato per la prima volta nel:";1861|1918|1974
"Un concordato tra la Chiesa cattolica e lo Stato italiano";"Cos'erano i Patti Lateranensi del 1929?";"Dei patti stipulati tra la Chiesa cattolica e la Chiesa protestante|Dei patti stipulati tra la Chiesa cattolica e la comunità ebraica|Dei provvedimenti economici dello Stato del Vaticano"
"di trincea";"Sul fronte italiano, nel corso della prima guerra mondiale, si combattè una guerra:";"basata su massicce incursioni di cavalleggeri|prevalentemente aereonavale|prevalentemente sottomarina"
"di posizione e di logoramento";"Sul fronte italiano, la prima guerra mondiale fu essenzialmente una guerra di trincea, ossia:";"di movimento e di rafforzamento|prevalentemente aerea|prevalentemente sottomarina"
"la Grecia";"Mentre le truppe italiane erano impegnate sul fronte africano, nel 1940 Mussolini diede l'ordine di attaccare anche:";"il Portogallo|la Spagna|l'Austria"
1943;"Mussolini fu messo in minoranza al Gran Consiglio del fascismo nel luglio:";1922|1940|1945
"Gli Stati Uniti d'America";"Quale, tra i seguenti Paesi, entrò in guerra in seguito all'attacco di Pearl Harbor del 1941?";"La Francia|La Gran Bretagna|La Spagna"
Marna;"Quale dei seguenti non fu un fronte di combattimento italiano nel corso della prima guerra mondiale";Carso|Isonzo|Piave
"sul suffragio universale maschile";"Nel 1912, il governo Giolitti approvò la legge:";"sul suffragio universale femminile|sull'abolizione del corso forzoso|sull'abolizione della pena di morte"
"Il duce";"Chi era a capo del Governo italiano durante il fascismo?";"Il Consiglio del fascismo|Il re|La Camera dei fasci"
Isonzo;"Nel 1917, l'esercito italiano fu sconfitto a Caporetto lungo il fiume:";Brenta|Po|Tagliamento
1915;"L'Italia entrò nella prima guerra mondiale nel:";1914|1916|1917
Londra;"In quale città fu firmato, nel 1915, il patto con cui l'Italia si alleò ai Paesi dell'Intesa?";"Atene|Berlino|New York"
"Un movimento di opposizione armata e non collaborazione che si sviluppò nei Paesi occupati dalle forze naziste e nell'Italia fascista";"Cosa si intende, nell'ambito della storia del Novecento, con il termine ""Resistenza""?";"L'accordo siglato da Cina, Francia, Gran Bretagna, Stati Uniti e URSS al termine della seconda guerra mondiale|Un movimento ideologico nato in Svizzera nel 1945 che garantiva, attraverso il metodo pacifico, la soluzione delle controversie internazionali|Un movimento politico volto a rafforzare la ricostruzione economica dei Paesi dell'Europa occidentale dopo il secondo conflitto mondiale "
1978;"Aldo Moro venne ucciso nel:";1968|1980|1992
1991;"Lo scontro tra il traghetto Moby Prince e una petroliera al largo del porto di Livorno è avvenuto nel: ";1981|1985|1995
duce;"Durante il Ventennio fascista, Mussolini ricopriva la carica di:";"direttore de l'Avanti!|imperatore d'Italia|viceré"
"Il 3 novembre 1918";"Alla fine della prima guerra mondiale, quando fu firmato l'armistizio tra l'Impero austro-ungarico e l'Italia che pose fine al conflitto tra i due Paesi?";"Il 2 gennaio 1915|Il 25 aprile 1945|L'11 febbraio 1919"
"Gabriele D'Annunzio";"Quale dei seguenti poeti italiani fu attivo politicamente tra le due guerre mondiali?";"Eugenio Montale|Giovanni Pascoli|Vincenzo Cardarelli"
"Antonio Segni";"Quale presidente della Repubblica italiana, colpito da una malattia invalidante, restò in carica soltanto due anni?";"Giovanni Leone|Oscar Luigi Scalfaro|Sandro Pertini"
"Gran Bretagna";"Quale delle seguenti nazioni era alleata dell'Italia nella prima guerra mondiale?";Bulgaria|Spagna|Ungheria
"Luigi Einaudi";"Nel 1948 divenne presidente della Repubblica italiana:";"Giovanni Giolitti|Giuseppe Saragat|Sandro Pertini"
"Nel 1992";"In quale anno venne eletto presidente della Repubblica Oscar Luigi Scalfaro?";"Nel 1972|Nel 1982|Nel 2002"
"La controversia internazionale, sorta alla fine della prima guerra mondiale, in relazione alla sovranità sulla città di Fiume";"Che cosa s'intende, in ambito storiografico, con la questione di Fiume?";"Il luogo dove venne incarcerato D'Annunzio nel 1919|La controversia fra Italia e Jugoslavia, sorta alla fine della seconda guerra mondiale, per l'esatta definizione del confine orientale italiano |La controversia sorta su chi dovesse risarcire i danni causati dal bombardamento della città di Fiume"
"Vittorio Emanuele Orlando";"Quale politico venne chiamato a presiedere un Governo di coalizione nazionale, dopo la disfatta di Caporetto? ";"Antonio Salandra|Giovanni Gentile|Sidney Sonnino"
1948;"La Costituzione repubblicana entrò in vigore in italia nel:";1861|1922|1978
"Giuseppe Saragat";"Chi venne eletto presidente della Repubblica italiana nel 1964?";"Giovanni Spadolini|Luigi Einaudi|Sandro Pertini"
1962-1964;"In quali anni è stato presidente della Repubblica italiana Antonio Segni?";1945-1948|1978-1985|1985-1992
"Friuli Venezia Giulia";"In quale Regione italiana si verificò un sisma nel 1976?";"Molise|Sicilia|Valle d'Aosta"
"Nel 1978";"In quale anno fu eletto presidente della Repubblica italiana Sandro Pertini, anno che vide anche l'elezione di papa Giovanni Paolo II?";"Nel 1958|Nel 1968|Nel 1988"
"Vittoria mutilata";"Al termine della prima guerra mondiale, come fu definita dai nazionalisti la vittoria italiana?";"Vittoria di Pirro|Vittoria di sabbia|Vittoria tradita"
"Francesco Cossiga";"Chi era il presidente della Repubblica italiana quando crollò il muro di Berlino?";"Carlo Azelio Ciampi|Giovanni Leone|Sandro Pertini"
"Enrico De Nicola";"Quale dei seguenti politici italiani ricoprì la carica di Presidente della Repubblica italiana?";"Alcide De Gasperi|Bettino Craxi|Pietro Nenni"
"Al 1911";"A quale anno risale la guerra di Libia promossa da Giolitti?";"Al 1789|Al 1848|Al 1956"
"Le insurrezioni di Palermo, Venezia e Milano";"A seguito di quali eventi iniziò la prima guerra d'indipendenza italiana?";"La guerra austro-prussiana|La guerra di Crimea|La guerra franco-prussiana"
borbonica;"Nel 1861, Gaeta fu l'ultima roccaforte:";garibaldina|papale|sabauda
"Carlo Pisacane";"Prima di Garibaldi, una spedizione antiborbonica nel Sud d'Italia venne tentata da:";"Giuseppe Mazzini|Lord Byron|Piero Maroncelli"
"Giuseppe Mazzini";"A quale dei seguenti protagonisti del Risorgimento si deve la fondazione del Partito d'Azione?";"Camillo Benso conte di Cavour|Giuseppe Garibaldi|Vittorio Emanuele II"
1820-21;"La prima grande prova organizzata dalle società segrete contro i regimi della Restaurazione fu rappresentata dai moti insurrezionali del: ";1810|1848-49|1870
"La base di un'alleanza tra Francia e Piemonte contro l'Austria";"Che cosa stabilirono i patti di Plombières del 1858?";"Il rafforzamento dell'occupazione austriaca in Italia|L'annessione del Piemonte alla Francia|Un'alleanza tra Piemonte e Austria contro la Francia"
Austria;"Al termine del Congresso di Vienna quale nazione esercitava la maggiore influenza sull'Italia?";Francia|Inghilterra|Russia
"Pio IX";"Quale Papa emanò il Non expedit, cioè il divieto ai cattolici di partecipare alla vita politica italiana, nel 1874? ";"Giovanni Paolo I|Giovanni XXIII|Leone XIII"
"Giuseppe Mazzini";"Chi fondò nel 1853 il Partito d'Azione?";"Camillo Benso conte di Cavour|Felice Orsini|Giuseppe Ferrari"
"Carlo Pisacane";"Nel 1847, a Sapri, sbarcava una colonna di uomini decisi a puntare su Napoli per provocarne l'insurrezione. Chi ne era il comandante?";"Daniele Manin|Giuseppe Garibaldi|Giuseppe Mazzini"
"Un'alleanza difensiva, in cui la Francia si impegnava a entrare in guerra a fianco del Regno sabaudo in caso di aggressione austriaca ";"Quale fu l'esito dell'incontro di Plombières del 1858?";"Il rafforzamento dell'occupazione austriaca in Italia|L'annessione del Piemonte alla Francia|Un'alleanza tra Piemonte e Austria contro la Francia"
"Napoleone III";"Durante la fase finale dell'unificazione italiana, l'imperatore francese era:";"Luigi Filippo|Luigi XVIII|Napoleone Bonaparte"
liberista;"Camillo Benso conte di Cavour era un sostenitore della dottrina economica:";anarchica|socialista|trasformista
Roma;"Nel 1871 fu scelta come capitale d'Italia:";Firenze|Napoli|Torino
"Camillo Benso conte di Cavour";"Quale protagonista del Risorgimento pronunciò la frase: ""Libera Chiesa in libero Stato""?";"Giuseppe Garibaldi|Pio IX|Vittorio Emanuele II"
"primo Ottocento";"In Italia, la Carboneria si diffuse nel:";"primo Settecento|tardo Ottocento|tardo Seicento"
"Francia e Prussia";"Nel settembre 1870, l'ingresso delle truppe italiane a Roma seguì di poco la fine del conflitto tra: ";"Austria e Russia|Inghilterra e Spagna|Turchia e Stati Uniti d'America"
Francia;"Quale Stato fu alleato del Regno sabaudo, nella seconda guerra d'indipendenza?";"Austria|Gran Bretagna|Stato della Chiesa"
"si svolse l'ultimo scontro tra garibaldini e borboni";"Nei pressi del fiume Volturno, nel 1860:";"i Borboni sconfissero i Mille|Mazzini decise di aderire alla Carboneria|si decise il destino dei moti risorgimentali greci"
l'Austria;"La terza guerra d'indipendenza italiana fu combattuta contro:";"la Francia|la Prussia|lo Stato pontificio"
l'Austria;"La prima guerra d'indipendenza italiana fu combattuta contro: ";"la Francia|la Spagna|lo Stato pontificio"
"La Francia";"Quale Stato fu alleato del Regno sabaudo nella seconda guerra d'indipendenza?";"La Gran Bretagna|L'Austria|Lo Stato della Chiesa"
"la Prussia";"Nella terza guerra d'indipendenza, l'Italia si era alleata con:";"con la Francia|la Russia|l'Austria"
l'Austria;"La terza guerra d'indipendenza italiana fu combattuta contro:";"il Regno Unito|la Russia|la Spagna"
l'Austria;"La prima guerra d'indipendenza italiana fu combattuta contro:";"la Prussia|la Russia|l'Inghilterra"
Villafranca;"La fine delle ostilità nella seconda guerra d'indipendenza italiana fu sancita dall'armistizio d i:";Cassibile|Versailles|Yalta
1861;"Il Regno d'Italia fu proclamato nel:";1851|1922|1946
"la fine della seconda guerra d'indipendenza italiana";"L'armistizio di Villafranca del 1859 tra Napoleone III e l'Austria comportò:";"la nascita della Triplice Alleanza|la resa prussiana|la sconfitta dell'Austria a favore dell'Italia di Cavour"
"stipulò l'armistizio con l'Austria";"Nel 1859, a Villafranca, Napoleone III:";"firmò un accordo con Pio IX|respinse l'ultimatum austriaco|strinse il patto d'acciaio con l'Italia"
"la loro annessione al Regno sabaudo mediante un plebiscito";"La spedizione dei Mille guidata da Garibaldi si concluse con la conquista delle regioni meridionali e con: ";"la conquista dello Stato pontificio|la loro annessione, imposta con le armi, al Regno sabaudo|la loro costituzione in Repubblica da parte dei garibaldini"
"Giuseppe Mazzini";"Quale, tra i seguenti protagonisti del Risorgimento, fondò nel 1853 il Partito d'Azione?";"Camillo Benso conte di Cavour|Carlo Cattaneo|Giuseppe Ferrari"
"Una ferrea repressione delle società segrete";"Dopo la sconfitta dei moti del 1820-21, quale fu la reazione delle autorità austriache nel Lombardo-Veneto?";"Il progetto di una federazione di Stati dotati di autonomia amministrativa|Il tentativo di inserire nel governo austriaco i capi delle società segrete|Un'alleanza ufficiale con lo Stato pontificio"
Scuola;"Dopo l'unificazione italiana, la legge Casati venne estesa a tutto il regno. Di quale materia si occupava?";"Finanze|Forze armate|Sanità"
"la seconda guerra d'indipendenza";"Nel 1859, in Italia si combatté:";"i moti rivoluzionari|la disfida di Barletta|la prima guerra d'indipendenza"
"terza guerra d'indipendenza";"Le sconfitte italiane di Lissa e di Custoza si verificarono nel corso della:";"guerra di Crimea|prima guerra d'indipendenza|prima guerra mondiale"
"Nel 1858";"Quando fu firmato l'accordo di Plombières tra Napoleone III e Camillo Benso conte di Cavour? ";"Nel 1852|Nel 1861|Nel 1870"
"Il pareggio del bilancio";"Quale obiettivo raggiunse la Destra storica che governò l'Italia dal 1861 al 1876?";"La limitazione del latifondo|La sconfitta dell'analfabetismo|L'annullamento del debito pubblico"
"Leone XIII";"Quale Papa, nel 1891, pubblicò, sul tema della questione sociale, l'enciclica Rerum Novarum? ";"Bonifacio VIII|Giovanni Paolo I|Paolo VI"
Garibaldi;"Quale protagonista del Risorgimento italiano ricevette entusiastica accoglienza a Londra nel 1864?";"Cavour|Pio IX|Vittorio Emanuele III"
1889;"L'Etiopia e l'Italia firmarono il trattato di Uccialli nel:";1859|1940|1949
"escludeva le donne dalla successione al trono";"La legge salica, presente nell'art. 1 dello Statuto albertino del 1848:";"regolamentava la tassazione del sale|regolava il monopolio statale dei sali|riorganizzava la distribuzione delle saline nel Paese"
"Francesco Crispi";"Quale tra i seguenti personaggi storici fu il leader della Sinistra storica italiana?";"Camillo Benso conte di Cavour|Giovanni Giolitti|Vincenzo Gioberti"
"protezione dei prodotti italiani";"Nel 1887, le tariffe doganali adottate dall'Italia erano volte principalmente alla:";"creazione di nuovi posti nel settore artigianale|diminuzione del prezzo del pane|tutela della classe impiegatizia"
"Camillo Benso conte di Cavour";"Quale tra i seguenti personaggi storici fu, nel 1861, il primo presidente del Consiglio del Regno d'Italia? ";"Carlo Alberto di Savoia principe di Carignano|Giuseppe Garibaldi|Vincenzo Cuoco"
Genova;"Mazzini nacque a:";Milano|Pisa|Torino
"la borghesia e l'aristocrazia più illuminata";"Il connubio promosso da Camillo Benso conte di Cavour e Urbano Rattazzi era un'alleanza politica e parlamentare tra: ";"i ceti contadini e i grandi affittuari|i ceti operai e quelli contadini|il clero e l'alta nobiltà"
"Un politico liberale";"Chi era Giovanni Giolitti?";"Un attivista socialista|Un filosofo hegeliano|Uno scultore futurista"
"alle cinque giornate di Milano";"Carlo Cattaneo partecipò attivamente:";"alla marcia su Roma|alla rivoluzione messicana|alla spedizione napoleonica in Russia"
liberalismo;"Camillo Benso conte di Cavour era un esponente del:";"federalismo|neoguelfismo|repubblicanesimo democratico"
"problemi sociali e alla questione operaia";"Nel 1891, Leone XIII pubblicò l'enciclica Rerum novarum dedicata ai: ";"problemi politici dell'America latina|rapporti con gli ortodossi|rapporti con l'islamismo"
mazziniano;"Il 14 gennaio 1858 fu compiuto un attentato contro Napoleone III da Felice Orsini, un:";"cattolico neoguelfo|cavouriano|generale dell'armata francese"
repubblicano;"Giuseppe Mazzini, uno dei protagonisti del Risorgimento italiano, era un convinto:";bonapartista|monarchico|papista
"Vincenzo Gioberti";"Da chi fu scritta, durante il Risorgimento, l'opera Del primato morale e civile degli italiani (1843)? ";"Camillo Benso conte di Cavour|Giuseppe Garibaldi|Silvio Pellico"
"Carlo Pisacane";"Quale, tra i seguenti protagonisti del Risorgimento, organizzò, la spedizione di Sapri nel 1857?";"Camillo Benso conte di Cavour|Daniele Manin|Giuseppe Garibaldi"
"Nino Bixio";"Durante la spedizione dei Mille, chi assunse il ruolo di braccio destro di Garibaldi nelle azioni militari? ";"Carlo Cattaneo|Carlo Pisacane|Daniele Manin"
"un'enciclica di Pio IX";"Durante il Risorgimento ebbe vasta notorietà il Sillabo, che era:";"il discorso d'insediamento di Carlo Alberto|un giornale fondato da Mazzini|un pamphlet politico redatto da Garibaldi"
"Sul Volturno";"Dove si svolse la decisiva battaglia fra l'esercito borbonico e le truppe di Garibaldi nell'autunno 1860? ";"A Marsala|A Milano|A Milazzo"
"Nel 1834";"In quale anno fu fondata da Mazzini la Giovine Europa?";"Nel 1698|Nel 1778|Nel 1921"
"ereditaria secondo la linea maschile";"In base allo Statuto albertino, la successione al trono sabaudo era:";"decisa dal Parlamento|ereditaria secondo la linea femminile|votata dal popolo"
"terza guerra d'indipendenza";"Il Veneto fu annesso all'Italia al termine della:";"prima guerra d'indipendenza|seconda guerra d'indipendenza|spedizione dei Mille"
"nella prima guerra d'indipendenza";"Nel Risorgimento italiano, lo Stato pontificio scese in guerra contro l'Austria. L'episodio si verificò:";"nella quarta guerra d'indipendenza|nella seconda guerra d'indipendenza|nella terza guerra d'indipendenza"
"nella prima guerra d'indipendenza italiana";"La Repubblica romana venne proclamata:";"nella quarta guerra d'indipendenza italiana|nella seconda guerra d'indipendenza italiana|nella terza guerra d'indipendenza italiana"
Brescia;"Durante la prima guerra d'indipendenza, si verificò l'episodio delle dieci giornate di:";Mantova|Milano|Parma
"nella prima guerra d'indipendenza italiana";"L'episodio delle dieci giornate di Brescia si verificò:";"nella quarta guerra d'indipendenza italiana|nella seconda guerra d'indipendenza italiana|nella terza guerra d'indipendenza italiana"
"I fratelli Bandiera";"Chi partecipò al tentativo insurrezionale nel Regno delle Due Sicilie nel 1844?";"Camillo Benso conte di Cavour|Giuseppe Garibaldi|Giuseppe Mazzini"
